Serial No,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,AdminChance
1,337,118,4,45,45,965,1,092
2,324,107,4,4,45,887,1,076
3,316,104,3,3,35,8,1,072
4,322,110,3,35,25,867,1,08
5,314,103,2,2,3,821,0,065
6,330,115,5,45,3,934,1,09
7,321,109,3,3,4,82,1,075
8,308,101,2,3,4,79,0,068
9,302,102,1,2,15,8,0,05
10,323,108,3,35,3,86,0,045
11,325,106,3,35,4,84,1,052
12,327,111,4,4,45,9,1,084
13,328,112,4,4,45,91,1,078
14,307,109,3,4,3,8,1,062
15,311,104,3,35,2,82,1,061
16,314,105,3,35,25,83,0,054
17,317,107,3,4,3,87,0,066
18,319,106,3,4,3,8,1,065
19,318,110,3,4,3,88,0,063
20,303,102,3,35,3,85,0,062
21,312,107,3,3,2,79,1,064
22,325,114,4,3,2,84,0,07
23,328,116,5,5,5,95,1,094
24,334,119,5,5,45,97,1,095
25,336,119,5,4,35,98,1,097
26,340,120,5,45,45,96,1,094
27,322,109,5,45,35,88,0,076
28,298,98,2,15,25,75,1,044
29,295,93,1,2,2,72,0,046
30,310,99,2,15,2,73,0,054
31,300,97,2,3,3,81,1,065
32,327,103,3,4,4,83,1,074
33,338,118,4,3,45,94,1,091
34,340,114,5,4,4,96,1,09
35,331,112,5,4,5,98,1,094
36,320,110,5,5,5,92,1,088
37,299,106,2,4,4,84,0,064
38,300,105,1,1,2,78,0,058
39,304,105,1,3,15,75,0,052
40,307,108,2,4,35,77,0,048
41,308,110,3,35,3,8,1,046
42,316,105,2,25,25,82,1,049
43,313,107,2,25,2,85,1,053
44,332,117,4,45,4,91,0,087
45,326,113,5,45,4,94,1,091
46,322,110,5,5,4,91,1,088
47,329,114,5,4,5,93,1,086
48,339,119,5,45,4,97,0,089
49,321,110,3,35,5,885,1,082
50,327,111,4,3,4,84,1,078
51,313,98,3,25,45,83,1,076
52,312,100,2,15,35,79,1,056
53,334,116,4,4,3,8,1,078
54,324,112,4,4,25,81,1,072
55,322,110,3,3,35,8,0,07
56,320,103,3,3,3,77,0,064
57,316,102,3,2,3,74,0,064
58,298,99,2,4,2,76,0,046
59,300,99,1,3,2,68,1,036
60,311,104,2,2,2,83,0,042
61,309,100,2,3,3,81,0,048
62,307,101,3,4,3,82,0,047
63,304,105,2,3,3,82,1,054
64,315,107,2,4,3,85,1,056
65,325,111,3,3,35,87,0,052
66,325,112,4,35,35,892,0,055
67,327,114,3,3,3,902,0,061
68,316,107,2,35,35,864,1,057
69,318,109,3,35,4,922,1,068
70,328,115,4,45,4,916,1,078
71,332,118,5,5,5,964,1,094
72,336,112,5,5,5,976,1,096
73,321,111,5,5,5,945,1,093
74,314,108,4,45,4,904,1,084
75,314,106,3,3,5,89,0,074
